timestamp,index,temperature_c,power_w,utilization_pct
2026/08/15 20:41:00.631,1,32,78.22,4
2026/08/15 20:41:01.661,0,34,97.35,2
2026/08/15 20:41:01.666,1,32,77.93,4
2026/08/15 20:41:02.696,0,34,97.75,2
2026/08/15 20:41:02.700,1,32,78.31,4
2026/08/15 20:41:03.730,0,34,97.79,2
2026/08/15 20:41:03.735,1,32,78.10,4
2026/08/15 20:41:04.769,0,34,97.97,2
2026/08/15 20:41:04.774,1,32,78.01,4
2026/08/15 20:41:05.804,0,34,98.07,2
2026/08/15 20:41:05.809,1,32,78.68,4
2026/08/15 20:41:06.842,0,34,98.02,2
2026/08/15 20:41:06.846,1,32,78.36,4
2026/08/15 20:41:07.878,0,34,97.83,2
2026/08/15 20:41:07.883,1,32,78.20,4
2026/08/15 20:41:08.913,0,34,98.01,2
2026/08/15 20:41:08.918,1,32,78.93,4
2026/08/15 20:41:09.949,0,34,97.95,2
2026/08/15 20:41:09.954,1,32,78.20,4
2026/08/15 20:41:10.984,0,35,97.89,2
2026/08/15 20:41:10.989,1,32,78.42,4
2026/08/15 20:41:12.018,0,35,97.74,2
2026/08/15 20:41:12.023,1,32,78.78,4
2026/08/15 20:41:13.053,0,35,97.48,2
2026/08/15 20:41:13.058,1,32,78.56,4
2026/08/15 20:41:14.090,0,35,97.28,2
2026/08/15 20:41:14.094,1,32,78.96,4
2026/08/15 20:41:15.125,0,35,97.58,2
2026/08/15 20:41:15.129,1,32,78.80,4
2026/08/15 20:41:16.161,0,35,97.63,2
2026/08/15 20:41:16.165,1,32,78.37,4
2026/08/15 20:41:17.198,0,35,97.41,2
2026/08/15 20:41:17.202,1,32,78.19,4
2026/08/15 20:41:18.232,0,35,97.78,2
2026/08/15 20:41:18.236,1,32,78.41,4
2026/08/15 20:41:19.267,0,35,97.90,2
2026/08/15 20:41:19.272,1,32,78.32,4
2026/08/15 20:41:20.302,0,35,97.65,2
2026/08/15 20:41:20.307,1,32,78.04,4
2026/08/15 20:41:21.336,0,35,97.95,2
2026/08/15 20:41:21.342,1,32,78.73,4
2026/08/15 20:41:22.373,0,35,97.84,2
2026/08/15 20:41:22.377,1,32,79.20,5
2026/08/15 20:41:23.408,0,35,97.79,2
2026/08/15 20:41:23.412,1,32,78.93,4
2026/08/15 20:41:24.443,0,35,97.86,2
2026/08/15 20:41:24.448,1,33,78.23,4
2026/08/15 20:41:25.478,0,35,97.99,2
2026/08/15 20:41:25.484,1,33,78.50,4
2026/08/15 20:41:26.517,0,35,98.14,2
2026/08/15 20:41:26.521,1,33,78.30,4
2026/08/15 20:41:27.554,0,35,97.94,2
2026/08/15 20:41:27.559,1,33,78.04,4
2026/08/15 20:41:28.590,0,35,97.91,2
2026/08/15 20:41:28.595,1,33,77.90,4
2026/08/15 20:41:29.627,0,35,97.77,2
2026/08/15 20:41:29.631,1,33,78.26,4
2026/08/15 20:41:30.662,0,35,97.75,2
2026/08/15 20:41:30.667,1,33,77.66,4
2026/08/15 20:41:31.697,0,35,97.87,2
2026/08/15 20:41:31.702,1,33,78.10,4
2026/08/15 20:41:32.733,0,35,97.87,2
2026/08/15 20:41:32.737,1,33,78.18,4
2026/08/15 20:41:33.767,0,36,98.06,2
2026/08/15 20:41:33.771,1,33,78.30,4
2026/08/15 20:41:34.804,0,36,98.13,2
